fecha	valor
11/2024	4352.0
10/2024	3715.2
9/2024	3236.5
8/2024	2778.1
7/2024	2496.9
6/2024	2064.6
5/2024	1614.6
4/2024	1261.9
3/2024	849.2
2/2024	291.2
1/2024	54.9
12/2023	6146.3
11/2023	4376.6
10/2023	3841.1
9/2023	3426.7
8/2023	3040.4
7/2023	2746.5
6/2023	2166.3
5/2023	1547.9
4/2023	1111.2
3/2023	614.5
2/2023	252.5
1/2023	33.4
12/2022	7174.1
11/2022	5159.0
10/2022	4564.2
9/2022	3965.7
8/2022	3526.4
7/2022	2946.6
6/2022	2436.7
5/2022	1556.1
4/2022	916.5
3/2022	607.8
2/2022	199.2
1/2022	24.8
12/2021	5082.2
11/2021	3861.7
10/2021	3438.8
9/2021	2936.5
8/2021	2483.7
7/2021	2174.4
6/2021	1814.6
5/2021	1538.8
4/2021	1097.0
3/2021	643.2
2/2021	187.5
1/2021	29.5
12/2020	4584.7
11/2020	3756.9
10/2020	3369.6
9/2020	3030.6
8/2020	2794.5
7/2020	2592.0
6/2020	2275.8
5/2020	1968.0
4/2020	1706.8
3/2020	1376.8
2/2020	210.4
1/2020	23.7
12/2019	4020.2
11/2019	3247.1
10/2019	2742.9
9/2019	2262.0
8/2019	2003.4
7/2019	1789.4
6/2019	1509.6
5/2019	1218.8
4/2019	965.8
3/2019	527.9
2/2019	122.9
1/2019	19.2
12/2018	3451.7
11/2018	2426.6
10/2018	2039.5
9/2018	1771.7
8/2018	1530.2
7/2018	1312.2
6/2018	1075.5
5/2018	841.5
4/2018	619.9
3/2018	367.7
2/2018	134.3
1/2018	21.0
12/2017	3472.4
11/2017	2493.8
10/2017	2135.5
9/2017	1842.7
8/2017	1547.5
7/2017	1337.5
6/2017	1103.8
5/2017	864.9
4/2017	628.3
3/2017	413.2
2/2017	163.3
1/2017	29.7
12/2016	3285.8
11/2016	2512.8
10/2016	2204.4
9/2016	1965.3
8/2016	1666.4
7/2016	1465.5
6/2016	1249.2
5/2016	878.5
4/2016	652.9
3/2016	408.4
2/2016	160.1
1/2016	26.5
12/2015	3510.5
11/2015	2525.3
10/2015	2046.4
9/2015	1794.6
8/2015	1471.2
7/2015	1270.1
6/2015	1051.0
5/2015	742.6
4/2015	440.0
3/2015	273.1
2/2015	115.0
1/2015	28.3
12/2014	3307.0
11/2014	2350.8
10/2014	2031.3
9/2014	1798.4
8/2014	1545.4
7/2014	1353.4
6/2014	1096.0
5/2014	863.8
4/2014	637.3
3/2014	321.5
2/2014	110.9
1/2014	18.5
12/2013	3189.7
11/2013	2379.2
10/2013	2086.7
9/2013	1765.5
8/2013	1567.8
7/2013	1378.8
6/2013	1155.8
5/2013	886.6
4/2013	625.3
3/2013	388.7
2/2013	169.4
1/2013	35.3
12/2012	3528.9
11/2012	2493.9
10/2012	2147.3
9/2012	1850.0
8/2012	1605.9
7/2012	1371.5
6/2012	1164.2
5/2012	936.1
4/2012	671.2
3/2012	430.5
2/2012	151.1
1/2012	19.9
12/2011	4041.3
11/2011	2913.6
10/2011	2439.1
9/2011	2153.1
8/2011	1873.8
7/2011	1652.5
6/2011	1374.4
5/2011	1092.1
4/2011	801.7
3/2011	470.9
2/2011	178.2
1/2011	23.8
12/2010	4451.9
11/2010	2994.3
10/2010	2578.3
9/2010	2245.7
8/2010	1943.5
7/2010	1702.8
6/2010	1384.3
5/2010	999.3
4/2010	698.9
3/2010	386.6
2/2010	120.5
1/2010	23.0
12/2009	4965.0
11/2009	3556.0
10/2009	2818.1
9/2009	2514.5
8/2009	2145.5
7/2009	1862.1
6/2009	1463.5
5/2009	1097.5
4/2009	801.0
3/2009	444.6
2/2009	164.6
1/2009	30.1
12/2008	4534.0
11/2008	3101.3
10/2008	2766.4
9/2008	2378.7
8/2008	2050.4
7/2008	1785.2
6/2008	1473.4
5/2008	1080.3
4/2008	805.8
3/2008	500.9
2/2008	261.0
1/2008	25.5
12/2007	4365.7
11/2007	2948.4
10/2007	2576.9
9/2007	2229.5
8/2007	1964.1
7/2007	1694.7
6/2007	1390.8
5/2007	1037.6
4/2007	727.2
3/2007	396.5
2/2007	134.1
1/2007	21.9
12/2006	3853.0
11/2006	2521.3
10/2006	2159.5
9/2006	1859.2
8/2006	1627.8
7/2006	1388.9
6/2006	1143.4
5/2006	846.2
4/2006	598.7
3/2006	345.7
2/2006	93.8
1/2006	19.1
12/2005	3459.7
11/2005	2326.2
10/2005	1995.0
9/2005	1767.0
8/2005	1539.6
7/2005	1348.8
6/2005	1133.7
5/2005	841.1
4/2005	580.0
3/2005	354.1
2/2005	157.0
1/2005	15.9
12/2004	3411.7
11/2004	2375.9
10/2004	2096.3
9/2004	1869.9
8/2004	1630.5
7/2004	1459.4
6/2004	1245.8
5/2004	934.4
4/2004	611.8
3/2004	421.8
2/2004	208.6
1/2004	12.8
12/2003	3196.8
11/2003	2133.2
10/2003	1883.7
9/2003	1577.2
8/2003	1358.9
7/2003	1190.1
6/2003	953.0
5/2003	741.7
4/2003	522.0
3/2003	240.0
2/2003	85.4
1/2003	15.1
12/2002	2801.3
11/2002	1999.2
