fecha	valor
1/2025	1134.7
12/2024	1168.8
11/2024	1370.0
10/2024	1430.8
9/2024	1249.3
8/2024	1037.2
7/2024	1363.3
6/2024	1264.7
5/2024	1370.4
4/2024	1324.4
3/2024	1100.8
2/2024	1168.9
1/2024	1055.8
12/2023	1058.9
11/2023	1289.7
10/2023	1197.5
9/2023	1138.3
8/2023	1066.1
7/2023	1202.6
6/2023	1304.8
5/2023	1338.1
4/2023	1184.7
3/2023	1440.5
2/2023	1175.5
1/2023	1065.1
12/2022	1167.0
11/2022	1336.9
10/2022	1254.3
9/2022	1248.1
8/2022	1146.4
7/2022	1223.2
6/2022	1376.0
5/2022	1333.0
4/2022	1334.7
3/2022	1176.1
2/2022	1257.0
1/2022	1029.0
12/2021	1257.2
11/2021	1319.1
10/2021	1271.3
9/2021	1300.7
8/2021	1200.6
7/2021	1344.8
6/2021	1374.4
5/2021	1366.0
4/2021	1238.7
3/2021	1379.0
2/2021	1114.1
1/2021	836.4
12/2020	1031.0
11/2020	1181.4
10/2020	1246.3
9/2020	1274.7
8/2020	1115.6
7/2020	1348.1
6/2020	1319.9
5/2020	1163.0
4/2020	606.2
3/2020	942.3
2/2020	1156.0
1/2020	1037.5
12/2019	947.1
11/2019	1159.8
10/2019	1389.2
9/2019	1221.2
8/2019	1160.9
7/2019	1372.4
6/2019	1278.2
5/2019	1384.4
4/2019	1205.6
3/2019	1290.1
2/2019	1170.1
1/2019	1141.9
12/2018	986.4
11/2018	1153.5
10/2018	1270.5
9/2018	1130.3
8/2018	1106.8
7/2018	1236.5
6/2018	1249.7
5/2018	1251.4
4/2018	1093.6
3/2018	981.2
2/2018	992.7
1/2018	1008.6
12/2017	895.0
11/2017	1208.4
10/2017	1124.8
9/2017	1048.5
8/2017	993.6
7/2017	1053.6
6/2017	1133.7
5/2017	1139.0
4/2017	917.8
3/2017	1119.8
2/2017	923.2
1/2017	835.4
12/2016	796.2
11/2016	1001.7
10/2016	948.2
9/2016	1004.5
8/2016	955.0
7/2016	987.4
6/2016	1042.5
5/2016	957.9
4/2016	940.7
3/2016	915.0
2/2016	876.5
1/2016	732.2
12/2015	836.5
11/2015	1002.6
10/2015	1009.5
9/2015	1007.5
8/2015	901.6
7/2015	1075.8
6/2015	1058.2
5/2015	1044.0
4/2015	978.8
3/2015	1000.0
2/2015	822.2
1/2015	755.4
12/2014	775.5
11/2014	886.3
10/2014	1050.3
9/2014	952.5
8/2014	861.8
7/2014	1123.0
6/2014	1007.2
5/2014	971.3
4/2014	849.1
3/2014	875.8
2/2014	748.3
1/2014	729.5
12/2013	705.3
11/2013	878.4
10/2013	986.4
9/2013	903.7
8/2013	846.5
7/2013	1051.3
6/2013	987.3
5/2013	1007.5
4/2013	910.0
3/2013	756.0
2/2013	839.6
1/2013	870.8
12/2012	779.3
11/2012	997.6
10/2012	1129.7
9/2012	1042.3
8/2012	1156.5
7/2012	1258.7
6/2012	1281.0
5/2012	1291.1
4/2012	1076.5
3/2012	1293.1
2/2012	1152.8
1/2012	1137.9
12/2011	1206.4
11/2011	1490.8
10/2011	1513.5
