fecha	valor
12/2024	98.8
11/2024	97.6
10/2024	97.3
9/2024	100.5
8/2024	97.8
7/2024	98.6
6/2024	97.6
5/2024	98.8
4/2024	98.8
3/2024	98.2
2/2024	101.8
1/2024	97.3
12/2023	102.0
11/2023	96.9
10/2023	94.9
9/2023	89.6
8/2023	89.4
7/2023	96.5
6/2023	92.3
5/2023	93.5
4/2023	97.0
3/2023	98.8
2/2023	100.0
1/2023	108.3
12/2022	106.6
11/2022	104.6
10/2022	101.5
9/2022	104.1
8/2022	104.1
7/2022	100.3
6/2022	99.0
5/2022	95.7
4/2022	100.9
3/2022	95.0
2/2022	96.4
1/2022	94.1
12/2021	92.6
11/2021	88.4
10/2021	89.0
9/2021	84.4
8/2021	84.9
7/2021	82.9
6/2021	78.0
5/2021	78.4
4/2021	77.9
3/2021	75.7
2/2021	74.6
1/2021	71.7
12/2020	72.7
11/2020	71.4
10/2020	72.1
9/2020	69.7
8/2020	73.1
7/2020	70.6
6/2020	73.1
5/2020	71.1
4/2020	71.0
3/2020	74.4
2/2020	73.5
1/2020	74.7
12/2019	76.5
11/2019	74.4
10/2019	74.3
9/2019	73.1
8/2019	73.2
7/2019	74.4
6/2019	74.0
5/2019	72.9
4/2019	75.0
3/2019	76.4
2/2019	69.9
1/2019	73.7
12/2018	79.0
11/2018	76.7
10/2018	78.1
9/2018	76.8
8/2018	78.8
7/2018	76.3
6/2018	74.8
5/2018	74.1
4/2018	73.9
3/2018	74.4
2/2018	71.2
1/2018	77.2
12/2017	72.4
11/2017	74.5
10/2017	73.0
9/2017	72.2
8/2017	72.7
7/2017	73.1
6/2017	72.1
5/2017	72.5
4/2017	74.3
3/2017	74.6
2/2017	74.0
1/2017	74.5
12/2016	72.5
11/2016	69.1
10/2016	70.4
9/2016	69.7
8/2016	71.2
7/2016	70.9
6/2016	69.9
5/2016	68.5
4/2016	69.1
3/2016	66.8
2/2016	69.6
1/2016	70.2
12/2015	70.6
11/2015	71.7
10/2015	72.1
9/2015	73.4
8/2015	79.4
7/2015	72.4
6/2015	71.6
5/2015	72.1
4/2015	73.1
3/2015	72.9
2/2015	73.7
1/2015	71.0
12/2014	78.5
11/2014	73.4
10/2014	73.4
9/2014	74.1
8/2014	79.7
7/2014	72.6
6/2014	74.0
5/2014	73.9
4/2014	73.1
3/2014	76.1
2/2014	73.0
1/2014	72.1
12/2013	77.1
11/2013	75.7
10/2013	73.9
9/2013	75.5
8/2013	79.8
7/2013	76.7
6/2013	76.6
5/2013	76.4
4/2013	73.1
3/2013	74.9
2/2013	73.3
1/2013	79.0
12/2012	83.7
11/2012	78.2
10/2012	80.3
9/2012	79.8
8/2012	84.6
7/2012	74.7
6/2012	77.3
5/2012	74.1
4/2012	78.2
3/2012	78.2
2/2012	78.0
1/2012	77.6
12/2011	75.6
11/2011	78.3
10/2011	75.7
9/2011	76.7
8/2011	77.4
7/2011	75.6
6/2011	74.0
5/2011	68.5
4/2011	74.3
3/2011	69.9
2/2011	71.9
1/2011	77.3
12/2010	73.9
11/2010	72.3
10/2010	71.9
9/2010	71.9
8/2010	76.3
7/2010	71.2
6/2010	70.1
5/2010	70.5
4/2010	69.9
3/2010	68.7
2/2010	68.7
1/2010	69.5
12/2009	73.0
11/2009	69.5
10/2009	71.3
9/2009	69.5
8/2009	76.5
7/2009	73.7
6/2009	69.8
5/2009	72.5
4/2009	75.2
3/2009	73.6
2/2009	80.2
1/2009	77.8
12/2008	82.8
11/2008	79.7
10/2008	80.8
9/2008	79.8
8/2008	81.7
7/2008	81.0
6/2008	73.3
5/2008	73.4
4/2008	75.1
3/2008	79.5
2/2008	76.0
1/2008	77.7
12/2007	76.7
11/2007	75.2
10/2007	77.5
9/2007	75.6
8/2007	77.6
7/2007	76.4
6/2007	76.8
5/2007	75.6
4/2007	75.6
3/2007	78.5
2/2007	78.6
1/2007	75.9
12/2006	74.8
11/2006	75.7
10/2006	76.7
9/2006	72.6
8/2006	78.7
7/2006	74.4
6/2006	73.6
5/2006	74.8
4/2006	77.6
3/2006	76.0
2/2006	74.9
1/2006	77.5
12/2005	75.0
11/2005	74.7
10/2005	74.1
9/2005	74.4
8/2005	78.9
7/2005	75.8
6/2005	73.0
5/2005	73.0
4/2005	72.1
3/2005	73.6
2/2005	72.9
1/2005	70.8
12/2004	72.2
11/2004	71.9
10/2004	71.7
9/2004	73.3
8/2004	72.4
7/2004	71.2
6/2004	70.7
5/2004	73.1
4/2004	69.8
3/2004	68.9
2/2004	67.4
1/2004	69.1
12/2003	67.3
11/2003	69.9
10/2003	67.8
9/2003	68.1
8/2003	67.2
7/2003	69.2
6/2003	69.7
5/2003	68.1
4/2003	67.9
3/2003	68.6
2/2003	70.1
1/2003	71.0
12/2002	68.3
11/2002	71.9
10/2002	70.7
9/2002	69.2
8/2002	70.3
7/2002	69.0
6/2002	71.5
5/2002	69.6
4/2002	70.0
3/2002	69.5
2/2002	71.1
1/2002	69.7
12/2001	71.5
11/2001	70.7
10/2001	70.6
9/2001	71.1
8/2001	76.6
7/2001	74.0
6/2001	71.6
5/2001	72.1
4/2001	70.3
3/2001	73.6
2/2001	72.5
1/2001	74.9
12/2000	74.1
11/2000	76.7
10/2000	75.0
9/2000	74.0
8/2000	76.8
7/2000	74.2
6/2000	73.5
5/2000	72.8
4/2000	73.2
3/2000	69.8
2/2000	71.0
1/2000	73.6
12/1999	67.7
11/1999	67.9
10/1999	68.7
9/1999	70.1
8/1999	71.5
7/1999	67.2
6/1999	73.5
5/1999	60.0
4/1999	70.2
3/1999	72.8
2/1999	72.2
1/1999	71.1
12/1998	71.7
11/1998	69.8
10/1998	71.2
9/1998	71.9
8/1998	75.7
7/1998	71.9
6/1998	74.4
5/1998	73.1
4/1998	73.5
3/1998	75.9
2/1998	74.6
1/1998	75.4
12/1997	74.6
11/1997	71.3
10/1997	73.5
9/1997	71.8
8/1997	77.4
7/1997	74.9
6/1997	74.5
5/1997	73.4
4/1997	74.4
3/1997	72.3
2/1997	71.2
1/1997	69.1
12/1996	73.2
11/1996	70.0
10/1996	69.3
9/1996	68.9
8/1996	68.5
7/1996	69.7
6/1996	71.7
5/1996	71.4
4/1996	76.0
3/1996	72.5
2/1996	78.7
1/1996	80.0
12/1995	76.5
11/1995	75.7
10/1995	75.4
9/1995	74.3
8/1995	76.6
7/1995	77.1
6/1995	73.4
5/1995	76.0
4/1995	75.2
3/1995	78.5
2/1995	73.8
1/1995	75.0
12/1994	71.4
11/1994	74.2
10/1994	74.4
9/1994	70.2
8/1994	74.7
7/1994	71.5
6/1994	70.4
5/1994	73.9
4/1994	70.7
3/1994	72.0
2/1994	73.5
1/1994	75.0
12/1993	73.1
11/1993	67.2
10/1993	71.7
9/1993	66.9
8/1993	73.5
7/1993	68.1
6/1993	70.2
5/1993	66.5
4/1993	64.9
3/1993	65.8
2/1993	66.9
1/1993	64.8
12/1992	73.1
11/1992	66.8
10/1992	66.9
9/1992	64.0
8/1992	70.3
7/1992	62.1
6/1992	65.2
5/1992	64.7
4/1992	64.4
3/1992	63.5
2/1992	63.4
1/1992	68.1
12/1991	65.8
11/1991	62.3
10/1991	65.4
9/1991	65.9
8/1991	69.8
7/1991	67.1
6/1991	65.8
5/1991	64.2
4/1991	66.2
3/1991	63.2
2/1991	66.2
1/1991	65.5
