fecha	valor
1/2025	2599.4
12/2024	2560.7
11/2024	2586.0
10/2024	2602.1
9/2024	2575.3
8/2024	2572.1
7/2024	2550.2
6/2024	2561.1
5/2024	2607.8
4/2024	2666.5
3/2024	2727.0
2/2024	2760.4
1/2024	2767.9
12/2023	2707.5
11/2023	2734.8
10/2023	2759.4
9/2023	2722.5
8/2023	2702.7
7/2023	2677.9
6/2023	2688.8
5/2023	2739.1
4/2023	2788.4
3/2023	2862.3
2/2023	2911.0
1/2023	2908.4
12/2022	2837.7
11/2022	2881.4
10/2022	2914.9
9/2022	2941.9
8/2022	2924.2
7/2022	2883.8
6/2022	2880.6
5/2022	2923.0
4/2022	3022.5
3/2022	3108.8
2/2022	3111.7
1/2022	3123.1
12/2021	3105.9
11/2021	3182.7
10/2021	3257.1
9/2021	3257.8
8/2021	3333.9
7/2021	3416.5
6/2021	3614.3
5/2021	3781.2
4/2021	3910.6
3/2021	3949.6
2/2021	4008.8
1/2021	3964.4
12/2020	3888.1
11/2020	3851.3
10/2020	3826.0
9/2020	3776.5
8/2020	3802.8
7/2020	3773.0
6/2020	3862.9
5/2020	3857.8
4/2020	3831.2
3/2020	3548.3
2/2020	3246.0
1/2020	3253.8
12/2019	3163.6
11/2019	3198.2
10/2019	3177.7
9/2019	3079.7
8/2019	3065.8
7/2019	3011.4
6/2019	3015.7
5/2019	3079.5
4/2019	3163.6
3/2019	3255.1
2/2019	3289.0
1/2019	3285.8
12/2018	3202.3
11/2018	3252.9
10/2018	3254.7
9/2018	3202.5
8/2018	3182.1
7/2018	3135.0
6/2018	3162.2
5/2018	3252.1
4/2018	3335.9
3/2018	3422.6
2/2018	3470.2
1/2018	3476.5
12/2017	3412.8
11/2017	3474.3
10/2017	3467.0
9/2017	3410.2
8/2017	3382.3
7/2017	3335.9
6/2017	3362.8
5/2017	3461.1
4/2017	3573.0
3/2017	3702.3
2/2017	3750.9
1/2017	3760.2
12/2016	3703.0
11/2016	3789.8
10/2016	3765.0
9/2016	3720.3
8/2016	3697.5
7/2016	3683.1
6/2016	3767.1
5/2016	3891.4
4/2016	4011.2
3/2016	4094.8
2/2016	4153.0
1/2016	4150.8
12/2015	4093.5
11/2015	4149.3
10/2015	4176.4
9/2015	4094.0
8/2015	4068.0
7/2015	4046.3
6/2015	4120.3
5/2015	4215.0
4/2015	4333.0
3/2015	4451.9
2/2015	4512.2
1/2015	4525.7
12/2014	4447.7
11/2014	4512.1
10/2014	4526.8
9/2014	4447.6
8/2014	4427.9
7/2014	4419.9
6/2014	4449.7
5/2014	4572.4
4/2014	4684.3
3/2014	4795.9
2/2014	4812.5
1/2014	4814.4
12/2013	4701.3
11/2013	4808.9
10/2013	4811.4
9/2013	4724.4
8/2013	4698.8
7/2013	4698.8
6/2013	4763.7
5/2013	4890.9
4/2013	4989.2
3/2013	5035.2
2/2013	5040.2
1/2013	4980.8
12/2012	4848.7
11/2012	4907.8
10/2012	4833.5
9/2012	4705.3
8/2012	4625.6
7/2012	4587.5
6/2012	4615.3
5/2012	4714.1
4/2012	4744.2
3/2012	4750.9
2/2012	4712.1
1/2012	4599.8
12/2011	4422.4
11/2011	4420.5
10/2011	4360.9
9/2011	4226.7
8/2011	4130.9
7/2011	4079.7
6/2011	4121.8
5/2011	4189.7
4/2011	4269.4
3/2011	4333.7
2/2011	4299.3
1/2011	4231.0
12/2010	4100.1
11/2010	4110.3
10/2010	4086.0
9/2010	4017.8
8/2010	3969.7
7/2010	3908.6
6/2010	3982.4
5/2010	4066.2
4/2010	4142.4
3/2010	4166.6
2/2010	4130.6
