fecha	valor
11/2024	18377.0
10/2024	16729.7
9/2024	15148.1
8/2024	13537.5
7/2024	11924.1
6/2024	10230.8
5/2024	7780.1
4/2024	6255.7
3/2024	4694.0
2/2024	3048.5
1/2024	1347.5
12/2023	20145.2
11/2023	17509.5
10/2023	15969.5
9/2023	14380.1
8/2023	12849.3
7/2023	11357.7
6/2023	9858.2
5/2023	7462.3
4/2023	5994.9
3/2023	4510.8
2/2023	2981.6
1/2023	1325.6
12/2022	19464.7
11/2022	16983.9
10/2022	15266.1
9/2022	13828.5
8/2022	12355.4
7/2022	10924.0
6/2022	9490.8
5/2022	7181.5
4/2022	5765.2
3/2022	4332.2
2/2022	2711.5
1/2022	1230.6
12/2021	18538.1
11/2021	16194.7
10/2021	14791.7
9/2021	13392.4
8/2021	11971.3
7/2021	10525.6
6/2021	9102.8
5/2021	6904.3
4/2021	5521.4
3/2021	4143.0
2/2021	2741.4
1/2021	1203.4
12/2020	17839.3
11/2020	15518.4
10/2020	13968.2
9/2020	12648.7
8/2020	11296.9
7/2020	10001.9
6/2020	8694.3
5/2020	6580.7
4/2020	5289.0
3/2020	3992.0
2/2020	2395.8
1/2020	1140.0
12/2019	17301.1
11/2019	15104.5
10/2019	13773.7
9/2019	12456.8
8/2019	11144.8
7/2019	9849.7
6/2019	8554.1
5/2019	6473.1
4/2019	5173.2
3/2019	3856.4
2/2019	2501.3
1/2019	1120.8
12/2018	16527.1
11/2018	14372.5
10/2018	13108.3
9/2018	11649.7
8/2018	10395.2
7/2018	8951.6
6/2018	7808.2
5/2018	5913.6
4/2018	4743.2
3/2018	3572.8
2/2018	2358.2
1/2018	1026.9
12/2017	15966.1
11/2017	13870.4
10/2017	12663.4
9/2017	11282.6
8/2017	10221.5
7/2017	9063.1
6/2017	7788.7
5/2017	5887.2
4/2017	4723.4
3/2017	3546.9
2/2017	2301.8
1/2017	1127.4
12/2016	16205.4
11/2016	14137.4
10/2016	12979.4
9/2016	11795.5
8/2016	10588.6
7/2016	9437.4
6/2016	8228.7
5/2016	6271.0
4/2016	4781.8
3/2016	3571.8
2/2016	2373.2
1/2016	955.3
12/2015	16087.6
11/2015	14122.1
10/2015	12888.1
9/2015	11533.4
8/2015	10341.4
7/2015	9201.3
6/2015	8005.7
5/2015	6060.6
4/2015	4892.5
3/2015	3719.5
2/2015	2350.4
1/2015	1290.5
12/2014	15640.0
11/2014	13599.7
10/2014	12438.4
9/2014	11260.2
8/2014	10223.1
7/2014	8942.6
6/2014	7772.7
5/2014	5836.6
4/2014	4676.3
3/2014	3653.1
2/2014	2329.9
1/2014	860.1
12/2013	15708.0
11/2013	13704.3
10/2013	12418.9
9/2013	11260.5
8/2013	10088.8
7/2013	8942.3
6/2013	7790.2
5/2013	5836.3
4/2013	4680.8
3/2013	3391.6
2/2013	2332.8
1/2013	1039.0
12/2012	26743.6
11/2012	23731.4
10/2012	21614.9
9/2012	19606.1
8/2012	17456.6
7/2012	15468.7
6/2012	13588.1
5/2012	10020.7
4/2012	8016.9
3/2012	5759.4
2/2012	3812.9
1/2012	1875.3
12/2011	27409.6
11/2011	23600.8
10/2011	21537.0
9/2011	19524.8
8/2011	17483.8
7/2011	15538.6
6/2011	13555.5
5/2011	10008.8
4/2011	7955.6
3/2011	5904.5
2/2011	3900.2
1/2011	1962.0
12/2010	26991.4
11/2010	23292.4
10/2010	21296.3
9/2010	19328.1
8/2010	17347.7
7/2010	15428.5
6/2010	13460.7
5/2010	9902.0
4/2010	7843.9
3/2010	5694.8
2/2010	3770.8
1/2010	1825.4
12/2009	26666.9
11/2009	22877.1
10/2009	20898.5
9/2009	18929.7
8/2009	16971.8
7/2009	15060.2
6/2009	13155.0
5/2009	9614.9
4/2009	7604.9
3/2009	5522.6
2/2009	3557.2
1/2009	1770.3
12/2008	25343.9
11/2008	21763.9
10/2008	19886.2
9/2008	17998.1
8/2008	16139.6
7/2008	14312.6
6/2008	12454.1
5/2008	9194.2
4/2008	7346.8
3/2008	5506.2
2/2008	3417.0
1/2008	1684.8
12/2007	23797.6
11/2007	20390.4
10/2007	18636.7
9/2007	16881.3
8/2007	15118.1
7/2007	13391.3
6/2007	11640.5
5/2007	8613.0
4/2007	6882.6
3/2007	5145.1
2/2007	3408.9
1/2007	1573.9
12/2006	22276.0
11/2006	19284.1
10/2006	17563.2
9/2006	15898.3
8/2006	14249.4
7/2006	12701.4
6/2006	10990.1
5/2006	8194.8
4/2006	6446.5
3/2006	4951.7
2/2006	3131.1
1/2006	1567.1
12/2005	20649.2
11/2005	17925.7
10/2005	16361.4
9/2005	14817.9
8/2005	13226.1
7/2005	11690.6
6/2005	10175.3
5/2005	7601.2
4/2005	6109.5
3/2005	4463.7
2/2005	2845.9
1/2005	1461.2
12/2004	19490.1
11/2004	16980.9
10/2004	15400.4
9/2004	13946.4
8/2004	12481.8
7/2004	11050.7
6/2004	9567.0
5/2004	7082.0
4/2004	5772.4
3/2004	4355.5
2/2004	2665.1
1/2004	1339.8
12/2003	18425.5
11/2003	16045.6
10/2003	14639.0
9/2003	13268.9
8/2003	11888.5
7/2003	10529.7
6/2003	9146.7
5/2003	6920.4
4/2003	5565.3
3/2003	4137.1
2/2003	2776.0
1/2003	1355.5
12/2002	17573.7
11/2002	15294.3
10/2002	13930.5
9/2002	12607.3
8/2002	11251.3
7/2002	9958.8
6/2002	8654.0
5/2002	6532.8
4/2002	5139.1
3/2002	3831.7
2/2002	2543.2
1/2002	1214.6
12/2001	16789.8
11/2001	14702.5
10/2001	13375.0
9/2001	12117.2
8/2001	10881.1
7/2001	9645.6
6/2001	8363.7
5/2001	6346.8
4/2001	5007.2
3/2001	3758.9
2/2001	2478.4
1/2001	1287.0
12/2000	16301.8
11/2000	14236.9
10/2000	13035.6
9/2000	11848.5
8/2000	10622.3
7/2000	9404.4
6/2000	8190.4
5/2000	6122.7
4/2000	5014.7
3/2000	3736.3
2/2000	2335.1
1/2000	1136.9
12/1999	17897.0
11/1999	15715.4
10/1999	14350.7
9/1999	13072.9
8/1999	11798.0
7/1999	10511.5
6/1999	9185.3
5/1999	6955.1
4/1999	5340.8
3/1999	3955.4
2/1999	2589.4
1/1999	1219.1
12/1998	18346.4
11/1998	15952.6
10/1998	14585.9
9/1998	13209.5
8/1998	11760.4
7/1998	10473.6
6/1998	9083.1
