fecha	valor
9/2024	12061.0
8/2024	8476.0
7/2024	10311.0
6/2024	12737.0
5/2024	10684.0
4/2024	10794.0
3/2024	9542.0
2/2024	11888.0
1/2024	9780.0
12/2023	9327.0
11/2023	7458.0
10/2023	11494.0
9/2023	10366.0
8/2023	8293.0
7/2023	7065.0
6/2023	10565.0
5/2023	9526.0
4/2023	7081.0
3/2023	9061.0
2/2023	10339.0
1/2023	9769.0
12/2022	11852.0
11/2022	7603.0
10/2022	11478.0
9/2022	9992.0
8/2022	8762.0
7/2022	6886.0
6/2022	10103.0
5/2022	7614.0
4/2022	5893.0
3/2022	10415.0
2/2022	10406.0
1/2022	9014.0
12/2021	9981.0
11/2021	7556.0
10/2021	12946.0
9/2021	10385.0
8/2021	9407.0
7/2021	9557.0
6/2021	12174.0
5/2021	9208.0
4/2021	6795.0
3/2021	8837.0
2/2021	8400.0
1/2021	9047.0
12/2020	8592.0
11/2020	6472.0
10/2020	8233.0
9/2020	6825.0
8/2020	5682.0
7/2020	7288.0
6/2020	7770.0
5/2020	6110.0
4/2020	5444.0
3/2020	8827.0
2/2020	9203.0
1/2020	7461.0
12/2019	7766.0
11/2019	7799.0
10/2019	10058.0
9/2019	8237.0
8/2019	8004.0
7/2019	8901.0
6/2019	11367.0
5/2019	8229.0
4/2019	9452.0
3/2019	10115.0
2/2019	9180.0
1/2019	9460.0
12/2018	7390.0
11/2018	9359.0
10/2018	9253.0
9/2018	7322.0
8/2018	6217.0
7/2018	11651.0
6/2018	10253.0
5/2018	10096.0
4/2018	7145.0
3/2018	9133.0
2/2018	7798.0
1/2018	7763.0
12/2017	5884.0
11/2017	6463.0
10/2017	7582.0
9/2017	6509.0
8/2017	6799.0
7/2017	6729.0
6/2017	7398.0
5/2017	7812.0
4/2017	6815.0
3/2017	6187.0
2/2017	6888.0
1/2017	6406.0
12/2016	6578.0
11/2016	3639.0
10/2016	7511.0
9/2016	5146.0
8/2016	4526.0
7/2016	4379.0
6/2016	6646.0
5/2016	6108.0
4/2016	3874.0
3/2016	6776.0
2/2016	6310.0
1/2016	4462.0
12/2015	4416.0
11/2015	3120.0
10/2015	5833.0
9/2015	5602.0
8/2015	3540.0
7/2015	3898.0
6/2015	5364.0
5/2015	3958.0
4/2015	3456.0
3/2015	3862.0
2/2015	3051.0
1/2015	3885.0
12/2014	3350.0
11/2014	2096.0
10/2014	3782.0
9/2014	3154.0
8/2014	3403.0
7/2014	2974.0
6/2014	4436.0
5/2014	2937.0
4/2014	2662.0
3/2014	2342.0
2/2014	4326.0
1/2014	2556.0
12/2013	2786.0
11/2013	2444.0
10/2013	3997.0
9/2013	2573.0
8/2013	2398.0
7/2013	2651.0
6/2013	3084.0
5/2013	4077.0
4/2013	2911.0
3/2013	2652.0
2/2013	3197.0
1/2013	2951.0
12/2012	3700.0
11/2012	2712.0
10/2012	4389.0
9/2012	4135.0
8/2012	4264.0
7/2012	3449.0
6/2012	4027.0
5/2012	4469.0
4/2012	3575.0
3/2012	5880.0
2/2012	5040.0
1/2012	6095.0
12/2011	4965.0
11/2011	6619.0
10/2011	6661.0
9/2011	6240.0
8/2011	6105.0
7/2011	5578.0
6/2011	11790.0
5/2011	8325.0
4/2011	7002.0
3/2011	8760.0
2/2011	7268.0
1/2011	6925.0
12/2010	14648.0
11/2010	7761.0
10/2010	11572.0
9/2010	9884.0
8/2010	6842.0
7/2010	8033.0
6/2010	11041.0
5/2010	11400.0
4/2010	10620.0
3/2010	9571.0
2/2010	10299.0
1/2010	11945.0
12/2009	19781.0
11/2009	12290.0
10/2009	14009.0
9/2009	10529.0
8/2009	9183.0
7/2009	13387.0
6/2009	13700.0
5/2009	13891.0
4/2009	13644.0
3/2009	14363.0
2/2009	12527.0
1/2009	11982.0
12/2008	27774.0
11/2008	21161.0
10/2008	32487.0
9/2008	20808.0
8/2008	17428.0
7/2008	24489.0
6/2008	28717.0
5/2008	32050.0
4/2008	30151.0
3/2008	27085.0
2/2008	31824.0
1/2008	34516.0
12/2007	50268.0
11/2007	37393.0
10/2007	48763.0
9/2007	48207.0
8/2007	49374.0
7/2007	49254.0
6/2007	58766.0
5/2007	50925.0
4/2007	53637.0
3/2007	50574.0
2/2007	55400.0
1/2007	63415.0
12/2006	71948.0
11/2006	60194.0
10/2006	80109.0
9/2006	67619.0
8/2006	64211.0
7/2006	51118.0
6/2006	67870.0
5/2006	61281.0
4/2006	61143.0
3/2006	57061.0
2/2006	60023.0
1/2006	57602.0
12/2005	68193.0
11/2005	44710.0
10/2005	64487.0
9/2005	60258.0
8/2005	58815.0
7/2005	61278.0
6/2005	63319.0
5/2005	59689.0
4/2005	54836.0
3/2005	63978.0
2/2005	57683.0
1/2005	59027.0
12/2004	58604.0
11/2004	44065.0
10/2004	75883.0
9/2004	65170.0
8/2004	56806.0
7/2004	53635.0
6/2004	62470.0
5/2004	56211.0
4/2004	52027.0
3/2004	62407.0
2/2004	52487.0
1/2004	50657.0
